Title,Price,Tags
Call of Duty®: Black Ops III,$19.79,Multiplayer | FPS | Zombies | Shooter
Sea of Thieves,$19.99,Adventure | Multiplayer | Open World | Pirates
Halo: The Master Chief Collection,$15.99,Great Soundtrack | Action | FPS | Multiplayer
Call of Duty®: Black Ops III,$19.79,Multiplayer | FPS | Zombies | Shooter
Days Gone,$24.99,Open World | Zombies | Post-apocalyptic | Singleplayer
Call of Duty®: Black Ops II,$19.79,Action | Multiplayer | FPS | Shooter
DEATHLOOP,$29.99,FPS | Action | First-Person | Stealth
Horizon Zero Dawn™ Complete Edition,$24.99,Open World | Adventure | Female Protagonist | Singleplayer
Hell Let Loose,$26.79,Action | Shooter | World War II | FPS
No Man's Sky,$29.99,VR Supported Open World | Open World Survival Craft | Space | Exploration
Forza Horizon 5,$50.99,Racing | Open World | Driving | Adventure
7 Days to Die,$7.49,Survival | Zombies | Voxel | Open World
Halo Infinite (Campaign),$47.99,Action | Adventure | Shooter | FPS
Destiny 2: The Witch Queen,$31.99,Action | Adventure | Free to Play | Looter Shooter
Age of Empires IV,$53.99,Strategy | RTS | Medieval | Multiplayer
Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle,$84.99,Action | Adventure | Free to Play | FPS
Call of Duty®: Black Ops,$19.99,Action | FPS | Zombies | Multiplayer
Orcs Must Die! 3,$14.99,Tower Defense | Co-op | Strategy | Third-Person Shooter
Fallout 4: Game of the Year Edition,$19.99,RPG | Open World | Post-apocalyptic | Singleplayer
Microsoft Flight Simulator Game of the Year Edition,$47.99,VR Supported Simulation | Flight | Open World | Realistic
Destiny 2: The Witch Queen Deluxe Edition,$67.99,Action | Adventure | Free to Play | Multiplayer
Divinity: Original Sin 2 - Definitive Edition,$17.99,Tactical RPG | Turn-Based Strategy | Exploration | RPG
State of Decay 2: Juggernaut Edition,$14.99,Survival | Open World | Zombies | Base Building
Outer Wilds,$14.99,Exploration | Space | Mystery | Adventure
Psychonauts 2,$35.99,Story Rich | 3D Platformer | Singleplayer | Psychological
Hades,$16.24,Action Roguelike | Indie | Action | Roguelite
Borderlands 3,$14.99,RPG | Action | FPS | Looter Shooter
Fable Anniversary,$8.74,RPG | Fantasy | Open World | Classic
Destiny 2: Legacy Collection,$29.99,Adventure | Action | Looter Shooter | FPS
HITMAN 3,$29.99,VR Supported Action | Adventure | Stealth | Sandbox
Borderlands 3: Super Deluxe Edition,$31.99,Action | RPG | FPS | Gore
Ori and the Will of the Wisps,$9.89,Beautiful | Metroidvania | Great Soundtrack | Platformer
Gang Beasts,$8.99,Funny | Physics | Multiplayer | Colorful
Age of Empires II: Definitive Edition,$7.99,Strategy | RTS | City Builder | Multiplayer
Microsoft Flight Simulator Game of the Year Edition,$47.99,VR Supported Simulation | Flight | Open World | Realistic
Call of Duty®: Modern Warfare® 3,$19.99,Action | FPS | Multiplayer | Shooter
Call of Duty®: WWII,$19.79,World War II | FPS | Multiplayer | War
Destiny 2: Bungie 30th Anniversary Pack,$19.99,Adventure | Action | Free to Play | Looter Shooter
Forza Horizon 4,$19.79,Racing | Open World | Driving | Multiplayer
Call of Duty®: Black Ops III - Season Pass,$24.99,Action | Adventure | FPS | Zombies
